gene_id	product	protein_id
10794	IUM83_03436	putative serine protease family S10	KAG6612618.1
10795	IUM83_03437	Zn-finger protein	KAG6612639.1
10796	IUM83_03438	putative serine protease family S10	KAG6612815.1
10797	IUM83_03439	putative serine protease family S10	KAG6612638.1
10798	IUM83_03440	hypothetical protein	KAG6612570.1
10799	IUM83_03441	hypothetical protein	KAG6612569.1
10800	IUM83_03442	hypothetical protein	KAG6612718.1
10801	IUM83_03443	Catalase/peroxidase HPI	KAG6612848.1
10802	IUM83_03444	hypothetical protein	KAG6612572.1
10803	IUM83_03445	hypothetical protein	KAG6612798.1
10804	IUM83_03446	Catalase/peroxidase HPI	KAG6612571.1
10805	IUM83_03447	hypothetical protein	KAG6612850.1
10806	IUM83_03448	hypothetical protein	KAG6612574.1
10807	IUM83_03449	hypothetical protein	KAG6612568.1
10808	IUM83_03450	Serine protease	KAG6612768.1
10809	IUM83_03451	Serine protease	KAG6612769.1
10810	IUM83_03452	Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase	KAG6612758.1
10811	IUM83_03453	Telomerase catalytic subunit/reverse transcriptase TERT	KAG6612579.1
10812	IUM83_03454	Adenylate cyclase	KAG6612662.1
10813	IUM83_03455	kinesin-like protein	KAG6612665.1
10814	IUM83_03456	hypothetical protein	KAG6612759.1
10815	IUM83_03457	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase	KAG6612770.1
10816	IUM83_03458	WD40 repeat-like protein	KAG6612767.1
10817	IUM83_03459	hypothetical protein	KAG6612757.1
10818	IUM83_03460	Necrosis inducing protein NPP1 type	KAG6612785.1
10819	IUM83_03461	hypothetical protein	KAG6612592.1
10820	IUM83_10537	hypothetical protein	KAG6612395.1
10821	IUM83_10538	hypothetical protein	KAG6612314.1
10822	IUM83_10539	Retrovirus Polyprotein	KAG6612396.1
10823	IUM83_10540	hypothetical protein	KAG6612268.1
10824	IUM83_10541	hypothetical protein	KAG6612458.1
10825	IUM83_10542	hypothetical protein	KAG6612238.1
10826	IUM83_10543	Transcriptional repressor TUP1-like protein	KAG6612267.1
10827	IUM83_10544	WD40 repeat-containing protein	KAG6612289.1
10828	IUM83_10545	ubiquitin carboxyl-terminal hydrolase 4	KAG6612270.1
10829	IUM83_10546	Tartrate-resistant acid phosphatase type 5	KAG6612269.1
10830	IUM83_10547	Ubiquitin-specific protease	KAG6612444.1
10831	IUM83_10548	Ribonuclease DdI	KAG6612271.1
10832	IUM83_10549	hypothetical protein	KAG6612272.1
10833	IUM83_10550	Ubiquitin-specific protease	KAG6612329.1
10834	IUM83_10551	Pentatricopeptide repeat-containing protein	KAG6612387.1
10835	IUM83_10552	hypothetical protein	KAG6612389.1
10836	IUM83_10553	Tyrosine-protein kinase, active site	KAG6612388.1
10837	IUM83_10554	WRKY transcription factor 19	KAG6612427.1
10838	IUM83_10555	TonB receptor	KAG6612385.1
10839	IUM83_10556	Neutral ceramidase	KAG6612386.1
10840	IUM83_10557	sepiapterin reductase	KAG6612300.1
10841	IUM83_10558	TonB receptor	KAG6612455.1
10842	IUM83_10559	WRKY transcription factor 19	KAG6612328.1
10843	IUM83_10560	31 kDa ribonucleoprotein	KAG6612426.1
10844	IUM83_10561	Cysteine-rich protein	KAG6612452.1
10845	IUM83_10562	hypothetical protein	KAG6612429.1
10846	IUM83_10563	phosphoribosylformylglycinamidine synthase	KAG6612256.1
10847	IUM83_10564	Prostaglandin E synthase	KAG6612453.1
10848	IUM83_10565	adp-dependent glucokinase-like	KAG6612409.1
10849	IUM83_10566	hypothetical protein	KAG6612454.1
10850	IUM83_10567	Carbohydrate-binding protein	KAG6612410.1
10851	IUM83_10568	Carbohydrate-binding protein	KAG6612424.1
10852	IUM83_10569	hect e3 ubiquitin	KAG6612255.1
10853	IUM83_10570	E3 ubiquitin-protein ligase UPL6	KAG6612336.1
10854	IUM83_10571	hect e3 ubiquitin	KAG6612335.1
10855	IUM83_10572	Carbohydrate-binding protein	KAG6612334.1
10856	IUM83_10573	Carbohydrate-binding protein	KAG6612375.1
10857	IUM83_10574	Pairing protein 2 family protein	KAG6612377.1
10858	IUM83_10575	Cytochrome P450	KAG6612338.1
10859	IUM83_10576	na proline symporter	KAG6612376.1
10860	IUM83_10577	aspartate carbamoyltransferase	KAG6612337.1
10861	IUM83_10578	hypothetical protein	KAG6612379.1
10862	IUM83_10579	CAMK/CDPK protein Kinase	KAG6612378.1
10863	IUM83_10580	CAMK/CDPK protein Kinase	KAG6612322.1
10864	IUM83_10581	CAMK/CDPK protein kinase	KAG6612418.1
10865	IUM83_10582	peptide deformylase	KAG6612320.1
10866	IUM83_10583	hypothetical protein	KAG6612321.1
10867	IUM83_10584	tubby-like protein	KAG6612318.1
10868	IUM83_10585	hypothetical protein	KAG6612319.1
10869	IUM83_10586	Intraflagellar Transport Protein 72/74	KAG6612316.1
10870	IUM83_10587	Intraflagellar Transport Protein 72/74	KAG6612317.1
10871	IUM83_10588	Amino Acid-Polyamine-Organocation (APC) Family	KAG6612323.1
10872	IUM83_10589	hypothetical protein	KAG6612324.1
10873	IUM83_10590	Alanine--glyoxylate aminotransferase 1	KAG6612397.1
10874	IUM83_10591	Mitochondrial Carrier (MC) Family	KAG6612436.1
10875	IUM83_10592	THO complex subunit 6	KAG6612438.1
10876	IUM83_10593	Calcium-dependent protein kinase 29	KAG6612437.1
10877	IUM83_10594	small EDRK-rich factor 2-like	KAG6612439.1
10878	IUM83_10595	hypothetical protein	KAG6612253.1
10879	IUM83_10596	tetratricopeptide repeat protein	KAG6612450.1
10880	IUM83_10597	protein-L-isoaspartate O-methyltransferase	KAG6612440.1
10881	IUM83_10598	hypothetical protein	KAG6612442.1
10882	IUM83_10599	Cellobiose dehydrogenase	KAG6612441.1
10883	IUM83_10600	hypothetical protein	KAG6612344.1
10884	IUM83_10601	hypothetical protein	KAG6612343.1
10885	IUM83_10602	Fatty-acid-CoA ligase	KAG6612346.1
10886	IUM83_10603	Transmembrane protein 56 B	KAG6612345.1
10887	IUM83_10604	TonB receptor	KAG6612340.1
10888	IUM83_10605	WRKY transcription factor 19	KAG6612339.1
10889	IUM83_10606	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily	KAG6612342.1
10890	IUM83_10607	Multidrug/Oligosaccharidyl-lipid/Polysaccharide (MOP) Flippase Superfamily	KAG6612341.1
10891	IUM83_10608	RNA binding activity-knot of a chromodomain	KAG6612348.1
10892	IUM83_10609	transcriptional regulator ATRX	KAG6612347.1
10893	IUM83_10610	hypothetical protein	KAG6612467.1
10894	IUM83_10611	Bzip transcription factor	KAG6612468.1
10895	IUM83_10612	hypothetical protein	KAG6612465.1
10896	IUM83_10613	putative membrane protein, predicted efflux pump	KAG6612466.1
10897	IUM83_10614	hypothetical protein	KAG6612471.1
10898	IUM83_10615	malate dehydrogenase	KAG6612472.1
10899	IUM83_10616	Phospholipase D	KAG6612469.1
10900	IUM83_10617	hypothetical protein	KAG6612470.1
10901	IUM83_10618	Phospholipase D	KAG6612443.1
10902	IUM83_10619	Phospholipase D	KAG6612464.1
10903	IUM83_10620	ATP-binding Cassette (ABC) Superfamily	KAG6612361.1
10904	IUM83_10621	Actin-related protein 2/3 complex subunit 1	KAG6612360.1
10905	IUM83_10622	hypothetical protein	KAG6612417.1
10906	IUM83_10623	CCR4-NOT transcription complex subunit 1	KAG6612422.1
10907	IUM83_10624	CCR4-NOT transcription complex subunit 1	KAG6612423.1
10908	IUM83_10625	reverse transcriptase	KAG6612363.1
10909	IUM83_10626	hypothetical protein	KAG6612362.1
10910	IUM83_10627	hypothetical protein	KAG6612331.1
10911	IUM83_10628	Eukaryotic peptide chain release factor GTP-binding subunit	KAG6612333.1
10912	IUM83_10629	hypothetical protein	KAG6612332.1
10913	IUM83_10630	tRNA (guanine(26)-N(2))-dimethyltransferase	KAG6612384.1
10914	IUM83_10631	tRNA (guanine(26)-N(2))-dimethyltransferase	KAG6612294.1
10915	IUM83_10632	tRNA (guanine(26)-N(2))-dimethyltransferase	KAG6612295.1
10916	IUM83_10633	tRNA (guanine(26)-N(2))-dimethyltransferase	KAG6612274.1
10917	IUM83_10634	hypothetical protein	KAG6612463.1
10918	IUM83_10635	START-like domain	KAG6612296.1
10919	IUM83_10636	START-like domain	KAG6612459.1
10920	IUM83_10637	hypothetical protein	KAG6612297.1
10921	IUM83_10638	Zinc finger, RING/FYVE/PHD-type	KAG6612460.1
10922	IUM83_10639	START-like domain	KAG6612462.1
10923	IUM83_10640	START-like domain	KAG6612365.1
10924	IUM83_10641	Zinc finger, RING/FYVE/PHD-type	KAG6612364.1
10925	IUM83_10642	Zinc finger, FYVE/PHD-type	KAG6612366.1
10926	IUM83_10643	START-like domain	KAG6612315.1
10927	IUM83_10644	putative phospholipase	KAG6612368.1
10928	IUM83_10645	hypothetical protein	KAG6612367.1
10929	IUM83_10646	hypothetical protein	KAG6612370.1
10930	IUM83_10647	Carbonic anhydrase 2	KAG6612369.1
10931	IUM83_10648	putative secreted RxLR effector protein	KAG6612372.1
10932	IUM83_10649	Zinc finger, FYVE/PHD-type	KAG6612371.1
10933	IUM83_10650	hypothetical protein	KAG6612246.1
10934	IUM83_10651	FYVE-FINGER-CONTAINING RAB5 EFFECTOR PROTEIN RABENOSYN-5-RELATED	KAG6612247.1
10935	IUM83_10652	Zinc finger, FYVE/PHD-type	KAG6612244.1
10936	IUM83_10653	putative membrane protein	KAG6612245.1
10937	IUM83_10654	Solute carrier family, facilitated glucose transporter	KAG6612242.1
10938	IUM83_10655	hypothetical protein	KAG6612243.1
10939	IUM83_10656	hypothetical protein	KAG6612240.1
10940	IUM83_10657	sepiapterin reductase	KAG6612241.1
10941	IUM83_10658	MtN3-like protein	KAG6612248.1
10942	IUM83_10659	TRP-like family	KAG6612250.1
10943	IUM83_10660	hypothetical protein	KAG6612359.1
10944	IUM83_10661	60S ribosomal protein L11	KAG6612357.1
10945	IUM83_10662	TFIIH basal transcription factor complex helicase subunit	KAG6612356.1
10946	IUM83_10663	Non-canonical poly(A) RNA polymerase PAPD5	KAG6612355.1
10947	IUM83_10664	dihydroorotase, homodimeric type	KAG6612354.1
10948	IUM83_10665	Neutral zinc metallopeptidase, Zn-binding site	KAG6612353.1
10949	IUM83_10666	MtN3-like protein	KAG6612352.1
10950	IUM83_10667	hypothetical protein	KAG6612351.1
10951	IUM83_10668	putative dihydrolipoamide succinyltransferase	KAG6612350.1
10952	IUM83_10669	Sulfate Permease (SulP) Family	KAG6612349.1
10953	IUM83_10670	homebox domain-containing protein	KAG6612234.1
10954	IUM83_10671	hypothetical protein	KAG6612235.1
10955	IUM83_10672	60S ribosomal protein L5	KAG6612236.1
10956	IUM83_10673	putative 60S ribosomal protein L14	KAG6612237.1
10957	IUM83_10674	Dimeric alpha-beta barrel	KAG6612232.1
10958	IUM83_10675	MtN3-like protein	KAG6612306.1
10959	IUM83_10676	MtN3-like protein	KAG6612233.1
10960	IUM83_10677	AGC/RSK/RSK-UNCLASSIFIED protein kinase	KAG6612307.1
10961	IUM83_10678	MtN3-like protein	KAG6612230.1
10962	IUM83_10679	MtN3-like protein	KAG6612231.1
10963	IUM83_10680	hypothetical protein	KAG6612310.1
10964	IUM83_10681	avirulence effector protein Avr3c	KAG6612309.1
10965	IUM83_10682	hypothetical protein	KAG6612312.1
10966	IUM83_10683	helitron helicase-like protein	KAG6612311.1
10967	IUM83_10684	hypothetical protein	KAG6612448.1
10968	IUM83_10685	serine/threonine protein kinase	KAG6612308.1
10969	IUM83_10686	hypothetical protein	KAG6612445.1
10970	IUM83_10687	Allene oxide synthase-lipoxygenase protein	KAG6612449.1
10971	IUM83_10688	hypothetical protein	KAG6612447.1
10972	IUM83_10689	NADH-cytochrome b5 reductase	KAG6612446.1
10973	IUM83_10690	hypothetical protein	KAG6612432.1
10974	IUM83_10691	hypothetical protein	KAG6612474.1
10975	IUM83_10692	putative secreted RxLR effector protein	KAG6612325.1
10976	IUM83_10693	hypothetical protein	KAG6612431.1
10977	IUM83_10694	hypothetical protein	KAG6612475.1
10978	IUM83_10695	hypothetical protein	KAG6612476.1
10979	IUM83_10696	coatomer subunit beta	KAG6612326.1
10980	IUM83_10697	AP-2 complex subunit sigma-1	KAG6612327.1
10981	IUM83_10698	polyadenylation factor i yth1 (cpsf subunit)	KAG6612433.1
10982	IUM83_10699	hypothetical protein	KAG6612434.1
10983	IUM83_10700	Choline/Carnitine O-acyltransferase	KAG6612265.1
10984	IUM83_10701	hypothetical protein	KAG6612403.1
10985	IUM83_10702	hypothetical protein	KAG6612404.1
10986	IUM83_10703	Protein Kinase	KAG6612405.1
10987	IUM83_10704	Glycoside-Pentoside-Hexuronide (GPH):Cation Symporter Family	KAG6612401.1
10988	IUM83_10705	hypothetical protein	KAG6612264.1
10989	IUM83_10706	Transposase, Tc1-like protein	KAG6612330.1
10990	IUM83_10707	hypothetical protein	KAG6612402.1
10991	IUM83_10708	hypothetical protein	KAG6612399.1
10992	IUM83_10709	hypothetical protein	KAG6612400.1
10993	IUM83_10710	WRKY transcription factor 19	KAG6612239.1
10994	IUM83_10711	rna polymerase ii subunit a c-terminal domain	KAG6612282.1
10995	IUM83_10712	DNA replication licensing factor MCM9	KAG6612281.1
10996	IUM83_10713	protein early flowering 5	KAG6612280.1
10997	IUM83_10714	DNA replication licensing factor	KAG6612473.1
10998	IUM83_10715	Dicarboxylate/amino acid:cation (Na or H) symporter (DAACS) family protein	KAG6612279.1
10999	IUM83_10716	CAMK/CAMK1 protein Kinase, variant 2	KAG6612278.1
11000	IUM83_10717	hypothetical protein	KAG6612277.1
11001	IUM83_10718	Zf-CCHC type zinc finger protein	KAG6612276.1
11002	IUM83_10719	Calcineurin-like phosphoesterase	KAG6612275.1
11003	IUM83_10720	Enoyl-CoA hydratase/isomerase family	KAG6612413.1
11004	IUM83_10721	FYVE-FINGER-CONTAINING RAB5 EFFECTOR PROTEIN RABENOSYN-5-RELATED	KAG6612414.1
11005	IUM83_10722	hypothetical protein	KAG6612419.1
11006	IUM83_10723	hypothetical protein	KAG6612298.1
11007	IUM83_10724	hypothetical protein	KAG6612313.1
11008	IUM83_10725	hypothetical protein	KAG6612412.1
11009	IUM83_10726	hypothetical protein	KAG6612411.1
11010	IUM83_10727	hypothetical protein	KAG6612290.1
11011	IUM83_10728	hypothetical protein	KAG6612415.1
11012	IUM83_10729	Actin-depolymerizing factor 8	KAG6612416.1
11013	IUM83_10730	CAMK protein kinase	KAG6612283.1
11014	IUM83_10731	hypothetical protein	KAG6612299.1
11015	IUM83_10732	TKL protein kinase	KAG6612292.1
11016	IUM83_10733	hypothetical protein	KAG6612284.1
11017	IUM83_10734	hypothetical protein	KAG6612285.1
11018	IUM83_10735	hypothetical protein	KAG6612293.1
11019	IUM83_10736	RNA-dependent DNA polymerase	KAG6612286.1
11020	IUM83_10737	hypothetical protein	KAG6612301.1
11021	IUM83_10738	Gag-pol fusion protein	KAG6612288.1
11022	IUM83_10739	Amino Acid/Auxin Permease (AAAP) Family	KAG6612287.1
11023	IUM83_10740	Amino Acid/Auxin Permease (AAAP) Family	KAG6612254.1
11024	IUM83_10741	Amino Acid/Auxin Permease (AAAP) Family	KAG6612380.1
11025	IUM83_10742	Amino Acid/Auxin Permease (AAAP) Family	KAG6612420.1
11026	IUM83_10743	Amino Acid/Auxin Permease (AAAP) Family	KAG6612406.1
11027	IUM83_10744	Mlo-related protein	KAG6612421.1
11028	IUM83_10745	putative origin recognition complex subunit	KAG6612381.1
11029	IUM83_10746	Amino Acid/Auxin Permease (AAAP) Family	KAG6612266.1
11030	IUM83_10747	Amino Acid/Auxin Permease (AAAP) Family	KAG6612273.1
11031	IUM83_10748	Amino Acid/Auxin Permease (AAAP) Family	KAG6612382.1
11032	IUM83_10749	Amino Acid/Auxin Permease (AAAP) Family	KAG6612383.1
11033	IUM83_10750	Amino Acid/Auxin Permease (AAAP) Family	KAG6612302.1
11034	IUM83_10751	putative F-box protein	KAG6612373.1
11035	IUM83_10752	putative ubiquitin-specific protease	KAG6612398.1
11036	IUM83_10753	Ubiquitin carboxyl-terminal hydrolase 24	KAG6612251.1
11037	IUM83_10754	Ubiquitin carboxyl-terminal hydrolase 24	KAG6612305.1
11038	IUM83_10755	5-aminolevulinic acid synthase	KAG6612408.1
11039	IUM83_10756	Coiled-coil domain-containing protein 94	KAG6612407.1
11040	IUM83_10757	Arsenite-Antimonite (ArsAB) Efflux Family	KAG6612303.1
11041	IUM83_10758	hypothetical protein	KAG6612374.1
11042	IUM83_10759	argininosuccinate lyase	KAG6612252.1
11043	IUM83_10760	tRNA cytosine-5-methylases and related enzymes of the NOL1/NOP2/sun superfamily	KAG6612391.1
11044	IUM83_10761	hypothetical protein	KAG6612430.1
11045	IUM83_10762	WD40 repeat protein TipD	KAG6612390.1
11046	IUM83_10763	Iron-sulfur cluster assembly protein	KAG6612428.1
11047	IUM83_10764	hypothetical protein	KAG6612394.1
11048	IUM83_10765	putative secreted RxLR effector protein	KAG6612435.1
11049	IUM83_10766	hypothetical protein	KAG6612392.1
11050	IUM83_10767	Fumarylacetoacetate hydrolase domain-containing protein 2	KAG6612393.1
11051	IUM83_10768	hypothetical protein	KAG6612456.1
11052	IUM83_10769	CAMK/CAMK1 protein kinase	KAG6612457.1
11053	IUM83_10770	Peptidase C19, ubiquitin-specific peptidase, DUSP domain	KAG6612261.1
11054	IUM83_10771	hypothetical protein	KAG6612260.1
11055	IUM83_10772	DNA polymerase theta-like	KAG6612425.1
11056	IUM83_10773	Chromodomain-helicase-DNA-binding protein	KAG6612262.1
11057	IUM83_10774	epidermal retinol dehydrogenase 2-like	KAG6612291.1
11058	IUM83_10775	epidermal retinol dehydrogenase 2-like	KAG6612257.1
11059	IUM83_10776	protease inhibitor EpiC2B	KAG6612259.1
11060	IUM83_10777	Myosin-I heavy chain	KAG6612258.1
11061	IUM83_10778	Peptidase C19, ubiquitin-specific peptidase, DUSP domain	KAG6612263.1
11062	IUM83_05248	hypothetical protein	KAG6622526.1
11063	IUM83_05249	hypothetical protein	KAG6622525.1
11064	IUM83_05250	Gag Polyprotein	KAG6622621.1
11065	IUM83_05251	reverse transcriptase	KAG6622622.1
11066	IUM83_05252	hypothetical protein	KAG6622358.1
11067	IUM83_05253	hypothetical protein	KAG6622623.1
11068	IUM83_05254	hypothetical protein	KAG6622620.1
11069	IUM83_05255	Transposase	KAG6622355.1
11070	IUM83_05256	hypothetical protein	KAG6622356.1
11071	IUM83_05257	reverse transcriptase	KAG6622574.1
11072	IUM83_05258	Copia protein	KAG6622619.1
11073	IUM83_05259	Integrase catalytic core protein	KAG6622609.1
11074	IUM83_05260	hypothetical protein	KAG6622458.1
11075	IUM83_05261	hypothetical protein	KAG6622381.1
11076	IUM83_05262	hypothetical protein	KAG6622460.1
11077	IUM83_05263	Cyclic nucleotide phosphodiesterase	KAG6622459.1
11078	IUM83_05264	50S ribosomal protein L36e	KAG6622600.1
11079	IUM83_05265	Fatty acid desaturase	KAG6622599.1
11080	IUM83_05266	hypothetical protein	KAG6622601.1
11081	IUM83_05267	GPI mannosyltransferase 3	KAG6622414.1
11082	IUM83_05268	pin2 terf1-interacting telomerase inhibitor 1	KAG6622521.1
11083	IUM83_05269	Hsp90-like protein	KAG6622519.1
11084	IUM83_05270	Surfeit locus 2	KAG6622680.1
11085	IUM83_05271	oxidoreductase	KAG6622628.1
11086	IUM83_05272	hypothetical protein	KAG6622573.1
11087	IUM83_05273	oxidoreductase	KAG6622405.1
11088	IUM83_05274	26S proteasome non-ATPase regulatory subunit 14	KAG6622572.1
11089	IUM83_05275	hypothetical protein	KAG6622634.1
11090	IUM83_05276	26s proteasome non-atpase regulatory subunit 14	KAG6622569.1
11091	IUM83_05277	U6 snRNA-associated Sm-like protein LSm5	KAG6622571.1
11092	IUM83_05278	Mitochondrial ribosomal protein L37 isoform 1	KAG6622629.1
11093	IUM83_05279	Regulator of G-protein signaling 5	KAG6622683.1
11094	IUM83_05280	DnaJ subfamily C member 15	KAG6622373.1
11095	IUM83_05281	3-methyl-2-oxobutanoate hydroxymethyltransferase	KAG6622372.1
11096	IUM83_05282	3-methyl-2-oxobutanoate hydroxymethyltransferase	KAG6622371.1
11097	IUM83_05283	Plectin-like protein	KAG6622370.1
11098	IUM83_05284	Prefoldin subunit 6	KAG6622377.1
11099	IUM83_05285	CDK5 regulatory subunit-associated protein 1	KAG6622376.1
11100	IUM83_05286	6-hydroxy-D-nicotine oxidase	KAG6622375.1
11101	IUM83_05287	Berberine-like protein	KAG6622374.1
11102	IUM83_05288	DNA repair protein RAD5	KAG6622369.1
11103	IUM83_05289	DNA repair protein	KAG6622368.1
11104	IUM83_05290	plectin-like protein	KAG6622550.1
11105	IUM83_05291	Pleiotropic drug resistance protein 2	KAG6622551.1
11106	IUM83_05292	ATP-BINDING CASSETTE TRANSPORTER	KAG6622552.1
11107	IUM83_05293	hypothetical protein	KAG6622554.1
11108	IUM83_05294	Fumarylacetoacetase	KAG6622555.1
11109	IUM83_05295	Spindle pole body protein	KAG6622556.1
11110	IUM83_05296	WD repeat-containing protein 6	KAG6622557.1
11111	IUM83_05297	putative TRAF3-interacting protein	KAG6622558.1
11112	IUM83_05298	RNA methyltransferase, TrmH superfamily protein	KAG6622548.1
11113	IUM83_05299	NLRC3 protein	KAG6622549.1
11114	IUM83_05300	putative Glycosyl hydrolase family 17 protein	KAG6622489.1
11115	IUM83_05301	putative glycosyl hydrolase family 17 protein	KAG6622503.1
11116	IUM83_05302	putative glycosyl hydrolase family 17 protein	KAG6622488.1
11117	IUM83_05303	Pol Polyprotein	KAG6622502.1
11118	IUM83_05304	Retrovirus-related Pol Polyprotein	KAG6622624.1
11119	IUM83_05305	Retrovirus-related Pol Polyprotein	KAG6622491.1
11120	IUM83_05306	hypothetical protein	KAG6622490.1
11121	IUM83_05307	hypothetical protein	KAG6622559.1
11122	IUM83_05308	hypothetical protein	KAG6622501.1
11123	IUM83_05309	Eukaryotic/viral aspartic protease	KAG6622487.1
11124	IUM83_05310	hypothetical protein	KAG6622681.1
11125	IUM83_05311	reverse transcriptase	KAG6622640.1
11126	IUM83_05312	DNA-directed RNA polymerase III subunit RPC8	KAG6622641.1
11127	IUM83_05313	DNA-directed RNA polymerase	KAG6622468.1
11128	IUM83_05314	Pleiotropic drug resistance protein	KAG6622467.1
11129	IUM83_05315	hypothetical protein	KAG6622590.1
11130	IUM83_05316	Cation Diffusion Facilitator (CDF) Family	KAG6622679.1
11131	IUM83_05317	hypothetical protein	KAG6622678.1
11132	IUM83_05318	hypothetical protein	KAG6622682.1
11133	IUM83_05319	hypothetical protein	KAG6622469.1
11134	IUM83_05320	12-oxophytodienoate reductase	KAG6622515.1
11135	IUM83_05321	12-oxophytodienoate reductase	KAG6622436.1
11136	IUM83_05322	Major Facilitator Superfamily (MFS)	KAG6622516.1
11137	IUM83_05323	Dynein light chain	KAG6622517.1
11138	IUM83_05324	hypothetical protein	KAG6622499.1
11139	IUM83_05325	Transmembrane protein	KAG6622518.1
11140	IUM83_05326	ADP-ribosylation factor-like 2-binding protein, domain	KAG6622472.1
11141	IUM83_05327	Katanin p60 ATPase-containing subunit A	KAG6622520.1
11142	IUM83_05328	40S ribosomal protein S28-A	KAG6622522.1
11143	IUM83_05329	putative dynein regulator	KAG6622474.1
11144	IUM83_05330	thaumatin-like protein	KAG6622496.1
11145	IUM83_05331	putative isochorismatase	KAG6622352.1
11146	IUM83_05332	exo1 exonuclease 1 dna repair	KAG6622398.1
11147	IUM83_05333	hypothetical protein	KAG6622397.1
11148	IUM83_05334	Anthranilate synthase component 2	KAG6622636.1
11149	IUM83_05335	Ribose-phosphate pyrophosphokinase	KAG6622399.1
11150	IUM83_05336	Telomerase-binding protein EST1A	KAG6622354.1
11151	IUM83_05337	hypothetical protein	KAG6622353.1
11152	IUM83_05338	Dynein heavy chain	KAG6622357.1
11153	IUM83_05339	Regulator of chromosome condensation (RCC1)-like protein	KAG6622637.1
11154	IUM83_05340	Tetratricopeptide TPR2	KAG6622508.1
11155	IUM83_05341	putative membrane protein	KAG6622648.1
11156	IUM83_05342	Gamma-tubulin complex component 2	KAG6622506.1
11157	IUM83_05343	hypothetical protein	KAG6622646.1
11158	IUM83_05344	crystallin j1a-like	KAG6622644.1
11159	IUM83_05345	ADP-ribosylation/Crystallin J1	KAG6622645.1
11160	IUM83_05346	CAMK protein kinase	KAG6622408.1
11161	IUM83_05347	Ribosomal-protein-alanine acetyltransferase	KAG6622643.1
11162	IUM83_05348	Ribosomal-protein-alanine acetyltransferase	KAG6622510.1
11163	IUM83_05349	CAMK protein kinase	KAG6622650.1
11164	IUM83_05350	Selenide, water diKinase	KAG6622685.1
11165	IUM83_05351	syntaxin 7-like protein	KAG6622626.1
11166	IUM83_05352	Beta-galactosidase 5	KAG6622686.1
11167	IUM83_05353	Beta-galactosidase 5	KAG6622670.1
11168	IUM83_05354	Beta-galactosidase 5	KAG6622673.1
11169	IUM83_05355	Beta-galactosidase 5	KAG6622672.1
11170	IUM83_05356	homebox and aldo/keto reductase domain-containing protein	KAG6622691.1
11171	IUM83_05357	hypothetical protein	KAG6622688.1
11172	IUM83_05358	Concanavalin A-like lectin/glucanase, subgroup	KAG6622463.1
11173	IUM83_05359	hypothetical protein	KAG6622675.1
11174	IUM83_05360	Cation Diffusion Facilitator (CDF) Family	KAG6622498.1
11175	IUM83_05361	Chromo domain/shadow	KAG6622542.1
11176	IUM83_05362	hypothetical protein	KAG6622543.1
11177	IUM83_05363	putative thioredoxin	KAG6622587.1
11178	IUM83_05364	hypothetical protein	KAG6622586.1
11179	IUM83_05365	Bromodomain-containing protein 9	KAG6622497.1
11180	IUM83_05366	Cysteine-rich protein	KAG6622538.1
11181	IUM83_05367	hypothetical protein	KAG6622382.1
11182	IUM83_05368	Long-chain-fatty-acid--AMP ligase FadD29	KAG6622585.1
11183	IUM83_05369	hypothetical protein	KAG6622528.1
11184	IUM83_05370	Drug/Metabolite Transporter (DMT) Superfamily	KAG6622563.1
11185	IUM83_05371	Mitochondrial cardiolipin hydrolase	KAG6622664.1
11186	IUM83_05372	hypothetical protein	KAG6622562.1
11187	IUM83_05373	ribosome-associated GTPase EngA	KAG6622663.1
11188	IUM83_05374	Zinc finger protein 706	KAG6622662.1
11189	IUM83_05375	Zinc finger protein 706	KAG6622461.1
11190	IUM83_05376	Myosin heavy chain	KAG6622661.1
11191	IUM83_05377	Coiled-coil domain-containing protein 13	KAG6622660.1
11192	IUM83_05378	Pathogen-related protein	KAG6622561.1
11193	IUM83_05379	Mitochondrial Carrier (MC) Family	KAG6622659.1
11194	IUM83_05380	hypothetical protein	KAG6622654.1
11195	IUM83_05381	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase	KAG6622500.1
11196	IUM83_05382	12-oxophytodienoate reductase 1	KAG6622450.1
11197	IUM83_05383	putative 12-oxophytodienoate reductase	KAG6622451.1
11198	IUM83_05384	chitin synthase 2	KAG6622452.1
11199	IUM83_05385	putative palmitoyltransferase	KAG6622453.1
11200	IUM83_05386	Ankyrin repeat-containing protein YAR1	KAG6622575.1
11201	IUM83_05387	G patch domain-containing protein 1	KAG6622669.1
11202	IUM83_05388	ubiquitin thioesterase otub1	KAG6622454.1
11203	IUM83_05389	Ubiquitin thioesterase otubain	KAG6622455.1
11204	IUM83_05390	phosphatidylinositol synthase (PIS)	KAG6622524.1
11205	IUM83_05391	hypothetical protein	KAG6622616.1
11206	IUM83_05392	putative aquaporin	KAG6622618.1
11207	IUM83_05393	putative aquaporin	KAG6622617.1
11208	IUM83_05394	putative aquaporin	KAG6622612.1
11209	IUM83_05395	elongator complex protein 3	KAG6622611.1
