"gene_id","protein_id","description","BP_Term","BP_GO_IDs","MF_Term","MF_GO_IDs","CC_Term","CC_GO_IDs","SP..TM","Prediction"
"IUM83_00563","KAG6609831.1","hypothetical protein IUM83_00563","-","-","-","-","-","-","No, 0","-"
"IUM83_00562","KAG6609832.1","proliferation-associated protein, metalloprotease family M24X","-","-","-","-","-","-","Yes, 0","Cytoplasmic effector"
"IUM83_00569","KAG6609833.1","Malate synthase, glyoxysomal","glyoxylate cycle; -","GO:0006097; -","-; malate synthase activity","-; GO:0004474","-","-","No, 0","-"
"IUM83_00569","KAG6609834.1","Malate synthase, glyoxysomal","glyoxylate cycle; -","GO:0006097; -","-; malate synthase activity","-; GO:0004474","-","-","No, 0","-"
"IUM83_00568","KAG6609835.1","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00902","KAG6609836.1","Ring finger domain","-","-","-","-","-","-","No, 0","-"
"IUM83_00749","KAG6609837.1","Metal-dependent hydrolase","modulation by symbiont of host defense-related programmed cell death; -","GO:0034053; -","-; deaminase activity","-; GO:0019239","-; extracellular region","-; GO:0005576","Yes, 0","Non-effector"
"IUM83_00748","KAG6609838.1","Adenosine/AMP deaminase","-","-","deaminase activity","GO:0019239","-","-","No, 0","-"
"IUM83_00741","KAG6609839.1","Coiled-coil domain-containing protein","endocytic recycling; retrograde transport, endosome to Golgi; -","GO:0032456; GO:0042147; -","-","-","-; EARP complex","-; GO:1990745","No, 0","-"
"IUM83_00740","KAG6609840.1","Serine/threonine-protein phosphatase 5","protein dephosphorylation; -","GO:0006470; -","-; phosphoprotein phosphatase activity; protein binding","-; GO:0004721; GO:0005515","-","-","No, 0","-"
"IUM83_00743","KAG6609841.1","hypothetical protein IUM83_00743","-","-","-","-","-","-","No, 0","-"
"IUM83_00742","KAG6609842.1","Phox homologous domain","-","-","phosphatidylinositol binding","GO:0035091","-","-","No, 0","-"
"IUM83_00742","KAG6609843.1","Phox homologous domain","-","-","phosphatidylinositol binding","GO:0035091","-","-","No, 0","-"
"IUM83_00745","KAG6609844.1","G-protein alpha subunit 1","G protein-coupled receptor signaling pathway; -","GO:0007186; -","-; GTPase activity; guanyl nucleotide binding; G-protein beta/gamma-subunit complex binding","-; GO:0003924; GO:0019001; GO:0031683","-","-","No, 0","-"
"IUM83_00744","KAG6609845.1","Histone H2B","-","-","DNA binding; protein heterodimerization activity; -","GO:0003677; GO:0046982; -","-; nucleosome","-; GO:0000786","No, 0","-"
"IUM83_00747","KAG6609846.1","Signal recognition particle receptor subunit alpha","SRP-dependent cotranslational protein targeting to membrane; -","GO:0006614; -","-; GTPase activity; signal recognition particle binding; GTP binding","-; GO:0003924; GO:0005047; GO:0005525","-; signal recognition particle receptor complex","-; GO:0005785","No, 0","-"
"IUM83_00746","KAG6609847.1","DOPA 4,5-dioxygenase","-","-","dioxygenase activity","GO:0051213","-","-","No, 0","-"
"IUM83_00904","KAG6609848.1","Pre-mRNA-splicing factor SF2-like protein","-","-","nucleic acid binding","GO:0003676","-","-","No, 0","-"
"IUM83_00908","KAG6609849.1","50S ribosomal protein L4","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; ribosome","-; GO:0005840","Yes, 0","Cytoplasmic effector"
"IUM83_00154","KAG6609850.1","hypothetical protein IUM83_00154","-","-","metal ion binding","GO:0046872","-","-","No, 0","-"
"IUM83_00157","KAG6609851.1","DNA-directed RNA polymerases I and III subunit","-","-","-","-","-","-","No, 0","-"
"IUM83_00629","KAG6609852.1","hypothetical protein IUM83_00629","-","-","-","-","-","-","No, 0","-"
"IUM83_00976","KAG6609853.1","Mediator of RNA polymerase II transcription subunit 7","-","-","-","-","-","-","No, 0","-"
"IUM83_00976","KAG6609854.1","Mediator of RNA polymerase II transcription subunit 7","-","-","-","-","-","-","No, 0","-"
"IUM83_00977","KAG6609855.1","Lysine methyltransferase","methylation; -","GO:0032259; -","-; methyltransferase activity; transferase activity","-; GO:0008168; GO:0016740","-; membrane","-; GO:0016020","No, 1","-"
"IUM83_00974","KAG6609856.1","Aminopeptidase B","proteolysis; -","GO:0006508; -","-; metallopeptidase activity; zinc ion binding","-; GO:0008237; GO:0008270","-","-","No, 0","-"
"IUM83_00975","KAG6609857.1","Cell cycle checkpoint protein RAD17","DNA repair","GO:0006281","-","-","-","-","No, 0","-"
"IUM83_00972","KAG6609858.1","Diacylglycerol O-acyltransferase 2","-","-","transferase activity; acyltransferase activity; acyltransferase activity, transferring groups other than amino-acyl groups; -","GO:0016740; GO:0016746; GO:0016747; -","-; membrane","-; GO:0016020","No, 8","-"
"IUM83_00973","KAG6609859.1","Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit A","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00352","KAG6609860.1","Thioredoxin-like fold","-","-","-","-","-","-","No, 0","-"
"IUM83_00353","KAG6609861.1","putative regulator of chromosome condensation (RCC1)","-","-","calcium ion binding","GO:0005509","-","-","No, 0","-"
"IUM83_00350","KAG6609862.1","Protein required for meiotic chromosome segregation","-","-","-","-","-","-","No, 0","-"
"IUM83_00356","KAG6609863.1","Ribonuclease H1, N-terminal","RNA phosphodiester bond hydrolysis, endonucleolytic; -","GO:0090502; -","-; nucleic acid binding; RNA-DNA hybrid ribonuclease activity","-; GO:0003676; GO:0004523","-; membrane","-; GO:0016020","Yes, 1","-"
"IUM83_00354","KAG6609864.1","Ribosomal protein L37a","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; ribosome","-; GO:0005840","No, 0","-"
"IUM83_00355","KAG6609865.1","D-3-phosphoglycerate dehydrogenase","-","-","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; NAD binding","GO:0016616; GO:0051287","-","-","No, 0","-"
"IUM83_00358","KAG6609866.1","dysferlin-like protein","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_00327","KAG6609867.1","PDZ domain-containing protein","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00327","KAG6609868.1","PDZ domain-containing protein","proteolysis; -","GO:0006508; -","-; serine-type endopeptidase activity; protein binding","-; GO:0004252; GO:0005515","-","-","No, 0","-"
"IUM83_00327","KAG6609869.1","PDZ domain-containing protein","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_01023","KAG6609870.1","Wings apart-like protein","-","-","-","-","-","-","No, 0","-"
"IUM83_01026","KAG6609871.1","zinc-binding dehydrogenase","peptidyl-diphthamide biosynthetic process from peptidyl-histidine; -","GO:0017183; -","-; zinc ion binding; oxidoreductase activity; transferase activity; metal ion binding; 2-(3-amino-3-carboxypropyl)histidine synthase activity","-; GO:0008270; GO:0016491; GO:0016740; GO:0046872; GO:0090560","-; membrane","-; GO:0016020","No, 1","-"
"IUM83_01029","KAG6609872.1","zinc-binding dehydrogenase","peptidyl-diphthamide biosynthetic process from peptidyl-histidine; -","GO:0017183; -","-; zinc ion binding; oxidoreductase activity; transferase activity; metal ion binding; 2-(3-amino-3-carboxypropyl)histidine synthase activity","-; GO:0008270; GO:0016491; GO:0016740; GO:0046872; GO:0090560","-; membrane","-; GO:0016020","No, 0","-"
"IUM83_01028","KAG6609873.1","CUE domain-containing protein","-","-","ubiquitin binding; metal ion binding","GO:0043130; GO:0046872","-","-","Yes, 5","Non-effector"
"IUM83_00798","KAG6609874.1","Voltage-gated Ion Channel (VIC) Superfamily","-","-","monoatomic cation channel activity; -","GO:0005261; -","-; plasma membrane","-; GO:0005886","No, 1","Cytoplasmic effector"
"IUM83_01022","KAG6609875.1","Wings apart-like protein","-","-","-","-","-","-","No, 0","-"
"IUM83_01014","KAG6609876.1","GDSL esterase/lipase","proteolysis; -","GO:0006508; -","-; aspartic-type endopeptidase activity","-; GO:0004190","-; membrane","-; GO:0016020","Yes, 0","Non-effector"
"IUM83_00509","KAG6609877.1","Cell division protein ftsZ","-","-","GTPase activity; GTP binding","GO:0003924; GO:0005525","-","-","No, 0","-"
"IUM83_00508","KAG6609878.1","Cell division protein","-","-","GTPase activity; GTP binding","GO:0003924; GO:0005525","-","-","Yes, 0","Non-effector"
"IUM83_00507","KAG6609879.1","glycoside hydrolase","-","-","phosphatidylinositol binding","GO:0035091","-","-","No, 0","-"
"IUM83_00506","KAG6609880.1","acyltransferase, putative","-","-","acyltransferase activity","GO:0016746","-","-","Yes, 3","Non-effector"
"IUM83_00505","KAG6609881.1","hypothetical protein IUM83_00505","protein transport; vesicle-mediated transport; mRNA transport; COPII-coated vesicle budding; positive regulation of TORC1 signaling; -","GO:0015031; GO:0016192; GO:0051028; GO:0090114; GO:1904263; -","-; structural molecule activity","-; GO:0005198","-; nuclear pore; COPII vesicle coat","-; GO:0005643; GO:0030127","No, 0","-"
"IUM83_00504","KAG6609882.1","hypothetical protein IUM83_00504","-","-","acyltransferase activity; -","GO:0016746; -","-; membrane","-; GO:0016020","No, 0","-"
"IUM83_00503","KAG6609883.1","M96 mating-specific protein family","-","-","-","-","membrane","GO:0016020","No, 1","Cytoplasmic effector"
"IUM83_00502","KAG6609884.1","M96 mating-specific protein family","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_00501","KAG6609885.1","putative glucokinase","phosphorylation; -","GO:0016310; -","-; kinase activity","-; GO:0016301","-","-","No, 0","-"
"IUM83_00500","KAG6609886.1","ROK family","phosphorylation; -","GO:0016310; -","-; kinase activity","-; GO:0016301","-","-","No, 0","-"
"IUM83_01000","KAG6609887.1","EF-Hand 1, calcium-binding site","-","-","calcium ion binding","GO:0005509","-","-","Yes, 0","Non-effector"
"IUM83_00320","KAG6609888.1","Voltage-gated Ion Channel (VIC) Superfamily","potassium ion transport; -","GO:0006813; -","-","-","-; membrane","-; GO:0016020","Yes, 8","Non-effector"
"IUM83_00329","KAG6609889.1","Ribonuclease P protein subunit p40","tRNA 5'-leader removal; -","GO:0001682; -","-","-","-; ribonuclease P complex","-; GO:0030677","No, 0","-"
"IUM83_00551","KAG6609890.1","Papain family cysteine protease","proteolysis; -","GO:0006508; -","-; cysteine-type peptidase activity","-; GO:0008234","-","-","Yes, 0","Non-effector"
"IUM83_00334","KAG6609891.1","hypothetical protein IUM83_00334","-","-","-","-","-","-","No, 0","-"
"IUM83_00335","KAG6609892.1","4-nitrophenylphosphatase, putative","-","-","phosphatase activity","GO:0016791","-","-","No, 0","-"
"IUM83_00336","KAG6609893.1","Ubiquitin-activating enzyme (E1)","-","-","ubiquitin-like modifier activating enzyme activity","GO:0008641","-","-","Yes, 1","Non-effector"
"IUM83_00337","KAG6609894.1","Lysosomal beta glucosidase","carbohydrate metabolic process; -","GO:0005975; -","-; hydrolase activity, hydrolyzing O-glycosyl compounds","-; GO:0004553","-","-","Yes, 0","Non-effector"
"IUM83_00331","KAG6609895.1","tigger transposable element-derived protein 4-like","-","-","nucleic acid binding","GO:0003676","-","-","No, 0","-"
"IUM83_00332","KAG6609896.1","putative SET-domain transcriptional regulator protein, Zn-binding site","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00338","KAG6609897.1","Lysosomal beta glucosidase","carbohydrate metabolic process; -","GO:0005975; -","-; hydrolase activity, hydrolyzing O-glycosyl compounds","-; GO:0004553","-","-","Yes, 0","Non-effector"
"IUM83_01007","KAG6609898.1","hypothetical protein IUM83_01007","-","-","-","-","membrane","GO:0016020","No, 1","-"
"IUM83_01007","KAG6609899.1","hypothetical protein IUM83_01007","-","-","-","-","membrane","GO:0016020","No, 1","-"
"IUM83_01003","KAG6609900.1","Cytochrome b5-like protein","-","-","-","-","-","-","No, 0","-"
"IUM83_01009","KAG6609901.1","E3 ubiquitin-protein ligase HERC2","-","-","-","-","-","-","No, 0","-"
"IUM83_01037","KAG6609902.1","Diacylglycerol O-acyltransferase 2","-","-","acyltransferase activity, transferring groups other than amino-acyl groups","GO:0016747","-","-","No, 1","-"
"IUM83_00604","KAG6609903.1","Callose synthase 1","(1->3)-beta-D-glucan biosynthetic process; -","GO:0006075; -","-; 1,3-beta-D-glucan synthase activity","-; GO:0003843","-; 1,3-beta-D-glucan synthase complex","-; GO:0000148","No, 14","Non-effector"
"IUM83_00607","KAG6609904.1","ring zinc finger domain superfamily protein","-","-","-","-","-","-","No, 0","-"
"IUM83_00397","KAG6609905.1","ATP-binding Cassette (ABC) Superfamily","-","-","ATP binding; -","GO:0005524; -","-; membrane","-; GO:0016020","Yes, 0","Non-effector"
"IUM83_00394","KAG6609906.1","ABC Superfamily","glutathione metabolic process; -","GO:0006749; -","-; ATP binding","-; GO:0005524","-","-","Yes, 0","Non-effector"
"IUM83_00395","KAG6609907.1","Avr4-associated TDF-like protein","-","-","-","-","-","-","Yes, 0","Non-effector"
"IUM83_00603","KAG6609908.1","Kinase D-interacting substrate","regulation of phosphoprotein phosphatase activity; -","GO:0043666; -","-; protein phosphatase binding","-; GO:0019903","-","-","No, 0","-"
"IUM83_00833","KAG6609909.1","Enolase","glycolytic process; -","GO:0006096; -","-; magnesium ion binding; phosphopyruvate hydratase activity","-; GO:0000287; GO:0004634","-; phosphopyruvate hydratase complex","-; GO:0000015","No, 0","-"
"IUM83_00832","KAG6609910.1","Enolase","glycolytic process; -","GO:0006096; -","-; magnesium ion binding; phosphopyruvate hydratase activity","-; GO:0000287; GO:0004634","-; phosphopyruvate hydratase complex","-; GO:0000015","No, 0","-"
"IUM83_00523","KAG6609911.1","lectin, putative","-","-","-","-","membrane","GO:0016020","Yes, 1","Cytoplasmic effector"
"IUM83_00522","KAG6609912.1","hypothetical protein IUM83_00522","-","-","-","-","-","-","No, 1","-"
"IUM83_00525","KAG6609913.1","vesicle coat complex COPII subunit SEC13","COPII-coated vesicle budding; positive regulation of TORC1 signaling; -","GO:0090114; GO:1904263; -","-; structural molecule activity; protein binding","-; GO:0005198; GO:0005515","-; COPII vesicle coat","-; GO:0030127","No, 0","-"
"IUM83_00836","KAG6609914.1","PCI domain-containing protein 2","poly(A)+ mRNA export from nucleus","GO:0016973","-","-","-","-","No, 0","-"
"IUM83_00527","KAG6609915.1","Ras-like GTP-binding protein YPT1","-","-","GTPase activity; GTP binding","GO:0003924; GO:0005525","-","-","No, 0","-"
"IUM83_00834","KAG6609916.1","Enolase","glycolytic process; -","GO:0006096; -","-; magnesium ion binding; phosphopyruvate hydratase activity","-; GO:0000287; GO:0004634","-; phosphopyruvate hydratase complex","-; GO:0000015","No, 0","-"
"IUM83_00529","KAG6609917.1","WD-repeat protein WDR6, WD repeat superfamily","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00839","KAG6609918.1","putative voltage-gated potassium channel subunit beta","-","-","D-threo-aldose 1-dehydrogenase activity","GO:0047834","-","-","No, 1","Cytoplasmic effector"
"IUM83_00838","KAG6609919.1","Interferon-stimulated 20 kDa exonuclease 2","monoatomic ion transport; potassium ion transport; monoatomic ion transmembrane transport; regulation of monoatomic ion transmembrane transport; nucleic acid phosphodiester bond hydrolysis; -","GO:0006811; GO:0006813; GO:0034220; GO:0034765; GO:0090305; -","-; exonuclease activity; voltage-gated monoatomic ion channel activity; D-threo-aldose 1-dehydrogenase activity","-; GO:0004527; GO:0005244; GO:0047834","-; cytoplasm; microtubule organizing center; cytoskeleton","-; GO:0005737; GO:0005815; GO:0005856","No, 0","-"
"IUM83_00390","KAG6609920.1","CAMK/CAMK1 protein kinase","protein phosphorylation; phosphorylation; -","GO:0006468; GO:0016310; -","-; nucleotide binding; protein kinase activity; calcium ion binding; ATP binding; kinase activity; metal ion binding","-; GO:0000166; GO:0004672; GO:0005509; GO:0005524; GO:0016301; GO:0046872","-","-","No, 0","-"
"IUM83_00785","KAG6609921.1","phospholipase D, Pi-PXPH-PLD","phosphatidic acid biosynthetic process; inositol lipid-mediated signaling; -","GO:0006654; GO:0048017; -","-; phospholipase D activity","-; GO:0004630","-","-","No, 0","-"
"IUM83_00787","KAG6609922.1","Serine/threonine-protein phosphatase 2A regulatory subunit A alpha isoform","-","-","-","-","-","-","No, 0","-"
"IUM83_00786","KAG6609923.1","Serine/threonine-protein phosphatase 2A regulatory subunit A alpha isoform","-","-","-","-","membrane","GO:0016020","No, 0","-"
"IUM83_00781","KAG6609924.1","AGC protein kinase","protein phosphorylation; -","GO:0006468; -","-; protein kinase activity; ATP binding","-; GO:0004672; GO:0005524","-","-","No, 0","-"
"IUM83_00789","KAG6609925.1","Inosine-5'-monophosphate dehydrogenase","-","-","ubiquitin protein ligase activity","GO:0061630","-","-","No, 0","-"
"IUM83_01020","KAG6609926.1","WD repeat-containing protein 74","-","-","-","-","-","-","No, 0","-"
"IUM83_00765","KAG6609927.1","Formin protein 6","-","-","-","-","WASH complex","GO:0071203","Yes, 0","Non-effector"
"IUM83_00434","KAG6609928.1","60S ribosomal protein L6","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; ribosome","-; GO:0005840","No, 0","-"
"IUM83_00955","KAG6609929.1","26S proteasome non-ATPase regulatory subunit","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00536","KAG6609930.1","hypothetical protein IUM83_00536","-","-","-","-","-","-","No, 0","-"
"IUM83_01033","KAG6609931.1","lipin-like protein","dephosphorylation; -","GO:0016311; -","-; phosphatidate phosphatase activity; hydrolase activity","-; GO:0008195; GO:0016787","-","-","No, 0","-"
"IUM83_00537","KAG6609932.1","FAM177 family","-","-","-","-","-","-","No, 0","-"
"IUM83_00768","KAG6609933.1","Nuclear protein ES2","-","-","oxidoreductase activity; -","GO:0016491; -","-; nucleus","-; GO:0005634","No, 0","-"
"IUM83_00381","KAG6609934.1","ars-binding protein","-","-","nucleic acid binding; DNA binding","GO:0003676; GO:0003677","-","-","No, 0","-"
"IUM83_00380","KAG6609935.1","Avr4-associated TDF-like protein","-","-","-","-","-","-","No, 0","-"
"IUM83_00648","KAG6609936.1","Endo-1,3(4)-beta-glucanase 1","-","-","glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group","GO:0052861","-","-","Yes, 0","Non-effector"
"IUM83_00649","KAG6609937.1","Endo-1,3(4)-beta-glucanase 1","-","-","glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group","GO:0052861","-","-","No, 0","-"
"IUM83_00649","KAG6609938.1","Endo-1,3(4)-beta-glucanase 1","-","-","glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group","GO:0052861","-","-","Yes, 0","Non-effector"
"IUM83_00318","KAG6609939.1","Polycystin Cation Channel (PCC) Family","-","-","-","-","membrane","GO:0016020","No, 2","-"
"IUM83_00640","KAG6609940.1","Auxilin-related protein 2","-","-","-","-","-","-","No, 0","-"
"IUM83_00641","KAG6609941.1","hypothetical protein IUM83_00641","-","-","-","-","-","-","No, 0","-"
"IUM83_00642","KAG6609942.1","Quinone oxidoreductase protein","-","-","oxidoreductase activity","GO:0016491","-","-","No, 0","-"
"IUM83_00643","KAG6609943.1","Polyketide synthase, enoylreductase domain","-","-","-","-","-","-","No, 0","-"
"IUM83_00310","KAG6609944.1","Zinc finger, C2H2","transcription initiation at RNA polymerase III promoter; -","GO:0006384; -","-; histone acetyltransferase activity; protein binding","-; GO:0004402; GO:0005515","-; transcription factor TFIIIC complex","-; GO:0000127","No, 0","-"
"IUM83_00647","KAG6609945.1","Endo-1,3(4)-beta-glucanase 1","-","-","glucan endo-1,3-beta-glucanase activity, C-3 substituted reducing group","GO:0052861","-","-","Yes, 0","-"
"IUM83_00202","KAG6609946.1","serine/threonine protein kinase","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00387","KAG6609947.1","Tyrosine phosphatase family","-","-","-","-","-","-","No, 0","-"
"IUM83_00388","KAG6609948.1","Alpha-soluble NSF attachment protein","intracellular protein transport; -","GO:0006886; -","-; protein binding","-; GO:0005515","-","-","No, 0","-"
"IUM83_00273","KAG6609949.1","Anaphase-promoting complex subunit 4 WD40 domain","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00837","KAG6609950.1","glutaredoxin","protein peptidyl-prolyl isomerization; -","GO:0000413; -","-; peptidyl-prolyl cis-trans isomerase activity; obsolete glutathione oxidoreductase activity","-; GO:0003755; GO:0097573","-","-","No, 1","-"
"IUM83_00203","KAG6609951.1","Catalase/peroxidase HPI","response to oxidative stress; -","GO:0006979; -","-; peroxidase activity; heme binding","-; GO:0004601; GO:0020037","-","-","No, 0","-"
"IUM83_00275","KAG6609952.1","ars binding protein 1","-","-","satellite DNA binding; -","GO:0003696; -","-; chromosome, centromeric region","-; GO:0000775","No, 0","-"
"IUM83_00782","KAG6609953.1","Rab8 family gtpase","-","-","GTPase activity; GTP binding","GO:0003924; GO:0005525","-","-","No, 0","-"
"IUM83_00815","KAG6609954.1","hypothetical protein IUM83_00815","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00814","KAG6609955.1","hypothetical protein IUM83_00814","-","-","-","-","membrane","GO:0016020","Yes, 1","Non-effector"
"IUM83_00817","KAG6609956.1","Bacterial transferase hexapeptide (six repeats)","-","-","-","-","dynactin complex","GO:0005869","No, 0","-"
"IUM83_00816","KAG6609957.1","bifunctional folD protein","-","-","methylenetetrahydrofolate dehydrogenase (NADP+) activity","GO:0004488","-","-","No, 0","-"
"IUM83_00811","KAG6609958.1","Kynurenine--oxoglutarate transaminase","biosynthetic process; -","GO:0009058; -","-; catalytic activity; pyridoxal phosphate binding","-; GO:0003824; GO:0030170","-","-","No, 0","-"
"IUM83_00810","KAG6609959.1","putative voltage-gated potassium channel subunit beta","-","-","D-threo-aldose 1-dehydrogenase activity","GO:0047834","-","-","No, 1","Cytoplasmic effector"
"IUM83_00813","KAG6609960.1","hypothetical protein IUM83_00813","-","-","-","-","membrane","GO:0016020","Yes, 2","Non-effector"
"IUM83_00819","KAG6609961.1","2-amino-3-ketobutyrate coenzyme A ligase","threonine catabolic process; biosynthetic process; -","GO:0006567; GO:0009058; -","-; glycine C-acetyltransferase activity; pyridoxal phosphate binding","-; GO:0008890; GO:0030170","-","-","No, 0","-"
"IUM83_00709","KAG6609962.1","tRNA (Guanine-1)-methyltransferase","tRNA methylation; methylation; -","GO:0030488; GO:0032259; -","-; methyltransferase activity; transferase activity; tRNA (guanine(9)-N(1))-methyltransferase activity","-; GO:0008168; GO:0016740; GO:0052905","-","-","No, 0","-"
"IUM83_00108","KAG6609963.1","40S ribosomal protein S10","-","-","-","-","ribosome","GO:0005840","No, 0","-"
"IUM83_00103","KAG6609964.1","nuclear pore complex protein Nup93-like protein","-","-","structural constituent of nuclear pore; -","GO:0017056; -","-; nuclear pore","-; GO:0005643","No, 0","-"
"IUM83_00102","KAG6609965.1","Heat shock protein Hsp90","-","-","-","-","-","-","No, 0","-"
"IUM83_00101","KAG6609966.1","DNA polymerase family X lyase domain","-","-","-","-","-","-","No, 0","-"
"IUM83_00100","KAG6609967.1","DNA polymerase family X lyase domain","-","-","-","-","-","-","No, 0","-"
"IUM83_00107","KAG6609968.1","Mitochondrial Carrier (MC) Family","transmembrane transport","GO:0055085","-","-","-","-","No, 5","-"
"IUM83_00106","KAG6609969.1","Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase","-","-","catalytic activity","GO:0003824","-","-","Yes, 0","Cytoplasmic effector"
"IUM83_00105","KAG6609970.1","C2 domain","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_00104","KAG6609971.1","hypothetical protein IUM83_00104","-","-","-","-","-","-","No, 0","-"
"IUM83_00412","KAG6609972.1","Nitrilotriacetate monooxygenase component B protein","-","-","monooxygenase activity","GO:0004497","-","-","No, 0","-"
"IUM83_00161","KAG6609973.1","Guanine nucleotide-binding protein 3","ceramide catabolic process; -","GO:0046514; -","-; N-acylsphingosine amidohydrolase activity","-; GO:0017040","-","-","No, 0","-"
"IUM83_00161","KAG6609974.1","Guanine nucleotide-binding protein 3","ceramide catabolic process; -","GO:0046514; -","-; N-acylsphingosine amidohydrolase activity","-; GO:0017040","-","-","No, 0","-"
"IUM83_00160","KAG6609975.1","Myosin-M heavy chain","-","-","metal ion binding","GO:0046872","-","-","No, 0","-"
"IUM83_00488","KAG6609976.1","ribosomal protein L22","translation; -","GO:0006412; -","-; structural constituent of ribosome","-; GO:0003735","-; large ribosomal subunit","-; GO:0015934","No, 0","-"
"IUM83_00489","KAG6609977.1","60S ribosomal protein L17-1","translation; ceramide biosynthetic process; -","GO:0006412; GO:0046513; -","-; DNA binding; structural constituent of ribosome; sphingosine N-acyltransferase activity","-; GO:0003677; GO:0003735; GO:0050291","-; ribosome; large ribosomal subunit; membrane","-; GO:0005840; GO:0015934; GO:0016020","No, 0","-"
"IUM83_00489","KAG6609978.1","60S ribosomal protein L17-1","translation; ceramide biosynthetic process; -","GO:0006412; GO:0046513; -","-; DNA binding; structural constituent of ribosome; sphingosine N-acyltransferase activity","-; GO:0003677; GO:0003735; GO:0050291","-; ribosome; large ribosomal subunit; membrane","-; GO:0005840; GO:0015934; GO:0016020","No, 0","-"
"IUM83_00486","KAG6609979.1","Leucine Rich repeat","-","-","protein binding","GO:0005515","-","-","Yes, 0","Non-effector"
"IUM83_00487","KAG6609980.1","DNA mismatch repair protein","mismatch repair; -","GO:0006298; -","-; ATP binding; mismatched DNA binding","-; GO:0005524; GO:0030983","-","-","Yes, 0","Non-effector"
"IUM83_00487","KAG6609981.1","DNA mismatch repair protein","mismatch repair; -","GO:0006298; -","-; ATP binding; mismatched DNA binding","-; GO:0005524; GO:0030983","-","-","No, 0","-"
"IUM83_00485","KAG6609982.1","hypothetical protein IUM83_00485","-","-","-","-","-","-","No, 0","-"
"IUM83_00483","KAG6609983.1","Ribonucleoside-diphosphate reductase subunit","deoxyribonucleotide biosynthetic process; -","GO:0009263; -","-; oxidoreductase activity","-; GO:0016491","-","-","No, 0","-"
"IUM83_00480","KAG6609984.1","Peptidyl-prolyl cis-trans isomerase E","-","-","RNA binding","GO:0003723","-","-","No, 0","-"
"IUM83_00481","KAG6609985.1","putative membrane protein","-","-","phosphatidylinositol binding","GO:0035091","-","-","No, 0","-"
"IUM83_00662","KAG6609986.1","hypothetical protein IUM83_00662","-","-","-","-","-","-","No, 0","-"
"IUM83_00663","KAG6609987.1","DYW family of nucleic acid deaminase","-","-","zinc ion binding","GO:0008270","-","-","No, 0","-"
"IUM83_00661","KAG6609988.1","alpha/beta hydrolase fold","proteolysis; -","GO:0006508; -","-; peptidase activity","-; GO:0008233","-; membrane","-; GO:0016020","No, 3","-"
"IUM83_00666","KAG6609989.1","hypothetical protein IUM83_00666","-","-","-","-","-","-","No, 0","-"
"IUM83_00664","KAG6609990.1","Alpha-aminoadipic semialdehyde synthase","-","-","oxidoreductase activity","GO:0016491","-","-","No, 0","-"
"IUM83_00665","KAG6609991.1","Glycosylphosphatidylinositol anchor attachment 1 protein","-","-","-","-","-","-","No, 0","-"
"IUM83_01040","KAG6609992.1","ankyrin-like protein","-","-","protein binding","GO:0005515","-","-","No, 0","-"
"IUM83_01042","KAG6609993.1","Cell division control protein","cell division; -","GO:0051301; -","-; ATP binding","-; GO:0005524","-","-","No, 0","-"
"IUM83_01044","KAG6609994.1","Epidermal growth factor-like domain","-","-","-","-","-","-","No, 0","-"
"IUM83_00056","KAG6609995.1","Leucine carboxyl methyltransferase domain-containing protein","methylation; -","GO:0032259; -","-; methyltransferase activity","-; GO:0008168","-","-","No, 0","-"
"IUM83_00255","KAG6609996.1","M96 mating-specific protein family","-","-","-","-","-","-","No, 0","-"
"IUM83_00879","KAG6609997.1","Calcium-activated chloride channel","-","-","calcium activated cation channel activity","GO:0005227","-","-","No, 8","-"
"IUM83_00878","KAG6609998.1","hypothetical protein IUM83_00878","-","-","-","-","-","-","No, 0","-"
